threshold,sensitivity,specificity,ppv,npv,alert_rate,alerts_per_100_patient_days,true_positives,false_positives,true_negatives,false_negatives
0.27410519397307637,0.9045676998368679,0.5290364267829739,0.15979827089337176,0.9824508774561272,0.5100316013816418,51.00316013816418,1109,5831,6550,117
0.2813899557326889,0.898042414355628,0.5393748485582748,0.16181657848324515,0.9816257533441128,0.5000367457926067,50.00367457926067,1101,5703,6678,125
0.28883417201626127,0.8964110929853181,0.5502786527744125,0.1648417579121044,0.981700288184438,0.4899683986183582,48.996839861835824,1099,5568,6813,127
0.296947922719169,0.8923327895595432,0.5608593813100718,0.16750880416475272,0.9813453928773318,0.47997354302932316,47.997354302932315,1094,5437,6944,132
0.3043444437390485,0.8890701468189234,0.5715208787658509,0.1704456606724003,0.9811425402107599,0.4699786874402881,46.99786874402881,1090,5305,7076,136
0.31167408374151945,0.8809135399673735,0.5816977627009127,0.1725515258028439,0.9801306477953184,0.459983831851253,45.998383185125306,1080,5179,7202,146
0.31942127387839286,0.8760195758564437,0.5921977223164526,0.17540421362077413,0.9796900053447354,0.44998897626221795,44.9988976262218,1074,5049,7332,152
0.3273469166037951,0.8735725938009788,0.6029399886923512,0.17888758977785202,0.9796587926509186,0.43999412067318294,43.999412067318296,1071,4916,7465,155
0.3365152849346088,0.867047308319739,0.6132784104676521,0.1816783455819518,0.9789840123775142,0.4299992650841479,42.99992650841479,1063,4788,7593,163
0.3453771874160115,0.865415986949429,0.6241014457636701,0.18565179352580927,0.9790927521540801,0.4200044094951128,42.00044094951128,1061,4654,7727,165
0.35332803145556557,0.8605220228384992,0.6346014053792101,0.18910198960387167,0.9786995515695067,0.41000955390607774,41.00095539060777,1055,4524,7857,171
0.36232415359023995,0.8572593800978793,0.6452629028349891,0.19309204482821973,0.9785644292013719,0.40001469831704267,40.00146983170427,1051,4392,7989,175
0.37204434188234764,0.8482871125611745,0.6553590178499313,0.19596758997550406,0.9775903614457832,0.39001984272800766,39.00198427280077,1040,4267,8114,186
0.38117041019146486,0.8425774877650897,0.6657782085453517,0.19976793656932895,0.977121858700806,0.3800249871389726,38.00249871389726,1033,4138,8243,193
0.3897425897147571,0.8376835236541599,0.6762781681608917,0.20397219463753724,0.9767848810079328,0.3700301315499375,37.00301315499375,1027,4008,8373,199
0.3994001761793785,0.833605220228385,0.6868588966965512,0.20861400285772608,0.9765732659623335,0.36003527596090246,36.003527596090244,1022,3877,8504,204
0.4089960702388398,0.8230016313213703,0.6967934738712543,0.21184127650640353,0.975463591135233,0.35004042037186744,35.00404203718674,1009,3754,8627,217
0.4189572759464249,0.8156606851549756,0.7070511267264357,0.2161227577263886,0.9748329621380847,0.3400455647828324,34.004556478283234,1000,3627,8754,226
0.4277976236098955,0.800978792822186,0.7166626282206607,0.21870824053452115,0.9732368103542832,0.32997721760858384,32.99772176085838,982,3508,8873,244
0.43666620785966725,0.7944535073409462,0.7270010499959616,0.22370234267340378,0.9727655895385281,0.31998236201954877,31.998236201954878,974,3380,9001,252
0.4471700563531016,0.7854812398042414,0.7370971650109038,0.2283072546230441,0.9719884971775482,0.3099875064305137,30.99875064305137,963,3255,9126,263
0.4572988761017809,0.7765089722675367,0.7471932800258461,0.233219010289074,0.9712335958005249,0.29999265084147864,29.999265084147865,952,3130,9251,274
0.46671535327344665,0.767536704730832,0.7572893950407883,0.23846933603649265,0.9704999482455232,0.28999779525244357,28.999779525244357,941,3005,9376,285
0.47679112548683283,0.7569331158238173,0.7672239722154914,0.24356955380577427,0.9695825252628356,0.28000293966340856,28.000293966340855,928,2882,9499,298
0.4864337893268906,0.7446982055464927,0.7769970115499556,0.24850299401197604,0.9684888754656197,0.2700080840743735,27.000808407437347,913,2761,9620,313
0.49646563731182597,0.7398042414355628,0.7874969711654956,0.25635952515545507,0.9683186016486245,0.2600132284853384,26.001322848533842,907,2631,9750,319
0.5055239600778303,0.7308319738988581,0.7975930861804378,0.26337448559670784,0.9676629103380696,0.25001837289630335,25.001837289630334,896,2506,9875,330
0.5149431443468622,0.7194127243066885,0.8074468944350214,0.2700551132884262,0.966734358379267,0.2400235173072683,24.002351730726833,882,2384,9997,344
0.5241140844695165,0.7120717781402937,0.8177045472902027,0.27891373801916935,0.9663071489930324,0.23002866171823327,23.002866171823328,873,2257,10124,353
0.5351346751252815,0.6965742251223491,0.8271545109441887,0.2852371409485638,0.9649486478846697,0.2200338061291982,22.00338061291982,854,2140,10241,372
0.5461519770744017,0.6786296900489397,0.836362167837816,0.29111266620014,0.9633454274816262,0.21003895054016314,21.003895054016315,832,2026,10355,394
0.5565667958481217,0.666394779771615,0.8461352071722801,0.30014695077149156,0.9624253559944879,0.2000440949511281,20.00440949511281,817,1905,10476,409
0.5670894841842248,0.6492659053833605,0.855423632986027,0.30781129156999226,0.9609835768079121,0.19004923936209303,19.004923936209302,796,1790,10591,430
0.5767459017798771,0.6313213703099511,0.8646312898796543,0.3159183673469388,0.9594873173792238,0.180054383773058,18.0054383773058,774,1676,10705,452
0.5893071448200691,0.6084828711256117,0.8733543332525644,0.32238547968885045,0.9574957938546002,0.17005952818402292,17.005952818402292,746,1568,10813,480
0.6017453153537923,0.5831973898858075,0.8819158387852355,0.32843362425355993,0.9552930883639545,0.15999118100977439,15.999118100977439,715,1462,10919,511
0.61155392464124,0.5570962479608483,0.8903158064776674,0.33463988241058307,0.9530520491094587,0.14999632542073932,14.999632542073932,683,1358,11023,543
0.6224923431409293,0.5367047308319739,0.8992811566109361,0.34540682414698165,0.9514612886686037,0.14000146983170428,14.000146983170428,658,1247,11134,568
